rank,stadium,capacity,city,country,region,tenants,sports,image,location
366,DY Patil Stadium,45300,Navi Mumbai,India,South Asia,"Mumbai Indians, Indian national football team, Mumbai City FC","Cricket, Association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.4678622, 74.6378678]"
367,Mandela National Stadium,45202,Kampala,Uganda,Africa,Uganda national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[0.3473756, 32.6579982]"
368,McLane Stadium,45140,"Waco, Texas",United States,North America,Baylor Bears football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[27.9423642, -82.2952048]"
369,Wrocław Municipal Stadium,45105,Wrocław,Poland,Europe,Śląsk Wrocław,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.14107, 16.94401]"
370,Kazan Arena,45105,Kazan,Russia,Europe,FC Rubin Kazan,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[55.82099, 49.158378]"
371,Estadio Garcilaso,45056,Cusco,Peru,South America,Cienciano,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-13.5253037, -71.9663034]"
372,Angel Stadium of Anaheim,45050,"Anaheim, California",United States,North America,Los Angeles Angels,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.7994259, -117.883699]"
373,Al Janoub Stadium,45036,Al Wakrah,Qatar,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.1606574, 51.5743367]"
374,Mangueirão,45007,Belém,Brazil,South America,"Paysandu Sport Club, Clube do Remo",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-1.3907425, -48.4351193]"
375,Egyptian Army Stadium,45000,Suez,Egypt,Africa,Petrojet,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.0793266506, 31.380224434]"
376,24 February 1956 Stadium,45000,Sidi Bel Abbès,Algeria,Africa,USM Bel Abbès,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.18994, -0.63085]"
377,Estádio Olímpico Monumental,45000,Porto Alegre,Brazil,South America,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-30.06041, -51.21306]"
378,Gelora Bung Tomo Stadium,45000,Surabaya,Indonesia,Southeast Asia,Persebaya Surabaya,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-6.2129041, 106.8036454]"
379,Ashgabat Olympic Stadium,45000,Ashgabat,Turkmenistan,Central Asia,Turkmenistan national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.95, 58.38333]"
380,Harapan Bangsa Stadium,45000,Banda Aceh,Indonesia,Southeast Asia,Persiraja Banda Aceh,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-6.9365824, 109.7746274]"
381,National Hockey Stadium,45000,Lahore,Pakistan,South Asia,Pakistan national field hockey team,Hockey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.30837, 74.1719]"
382,Estadio General Pablo Rojas,45000,Asunción,Paraguay,South America,Cerro Porteño,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.3001877, -57.6373234]"
383,Barabati Stadium,45000,Cuttack,India,South Asia,Odisha Cricket Association,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[20.4807902, 85.8682994]"
384,Qingdao Conson Stadium,45000,Qingdao,China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.06488, 120.38042]"
385,Estádio da Machava,45000,Maputo,Mozambique,Africa,Mozambique national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.8937559, 32.4822108]"
386,Morenão,45000,Campo Grande,Brazil,South America,Federal University of Mato Grosso do Sul,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-23.5284537, -46.4993974]"
387,Fez Stadium,45000,Fes,Morocco,Africa,Maghreb de Fès,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.2462692, -8.5241921]"
388,Free State Stadium,45000,Bloemfontein,South Africa,Africa,"Free State Cheetahs, Cheetahs, Bloemfontein Celtic",Rugby union,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-29.1171564, 26.2079652]"
389,Rostov Arena,45000,Rostov-on-Don,Russia,Europe,FC Rostov,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[47.209459, 39.737828]"
390,Citi Field,45000,New York City,United States,North America,New York Mets,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.7574797, -73.8448451]"
391,Yantai Sports Park Stadium,45000,"Yantai, Shandong",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.7564046644, -82.4827796376]"
392,Panathenaic Stadium,45000,Athens,Greece,Europe,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.967509, 23.741705]"
393,Stade Omar Bongo,45000,Libreville,Gabon,Africa,FC 105 Libreville,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-1.6533297, 13.4213398]"
394,National Stadium,45000,Lagos,Nigeria,Africa,Nigeria national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[6.45407, 3.39467]"
395,Zibo Sports Center Stadium,45000,"Zibo, Shandong",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.79056, 118.06333]"
396,Amahoro National Stadium,45508,Kigali,Rwanda,Africa,"APR F.C., Rwanda national football team, Rayon Sports F.C., S.C. Kiyovu Sports...",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-1.6940298, 29.2629124]"
397,Weifang Sports Center Stadium,45000,"Weifang, Shandong",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.71, 119.10194]"
398,Orlando Stadium,45000,Johannesburg,South Africa,Africa,"Orlando Pirates, Moroka Swallows",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-26.2310404, 27.9198573]"
399,Zayed Sports City Stadium,45000,Abu Dhabi,United Arab Emirates,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[24.415601, 54.452901]"
400,Latakia Sports City Stadium,45000,Latakia,Syria,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.55998, 35.74771]"
401,Solidarnost Samara Arena,44918,Samara,Russia,Europe,PFC Krylia Sovetov Samara,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.2019028, 50.1737067]"
402,Vidarbha Cricket Association Stadium,44904,Nagpur,India,South Asia,Vidarbha cricket team,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[21.0141516, 79.0396017]"
403,Nizhny Novgorod Stadium,44899,Nizhny Novgorod,Russia,Europe,Pari NN,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[56.3265567, 44.0081101]"
404,Estadio Atanasio Girardot,44863,Medellín,Colombia,South America,"Atlético Nacional, Independiente Medellín",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[6.256672, -75.590374]"
405,Toyota Stadium,44692,Toyota,Japan,East Asia,Nagoya Grampus,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.084653598, 137.170807077]"
406,Alumni Stadium,44500,"Chestnut Hill, Massachusetts",United States,North America,Boston College Eagles football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.1893231, -75.5431954]"
407,Greenfield International Stadium,44400,Thiruvananthapuram,India,South Asia,"India national cricket team, Kerala cricket team",Cricket and Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.001191, 86.781683]"
408,FBC Mortgage Stadium,44206,"Orlando, Florida",United States,North America,UCF Knights football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[28.540587, -81.378641]"
409,Albertão,44200,Teresina,Brazil,South America,Esporte Clube Flamengo,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-5.11604, -42.7937572]"
410,Gwangju World Cup Stadium,44118,Gwangju,South Korea,East Asia,Gwangju FC,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.15472, 126.91556]"
411,Ulsan Munsu Football Stadium,44102,Ulsan,South Korea,East Asia,Ulsan HD,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.53722, 129.31667]"
412,Bao'an Stadium,44050,Shenzhen,China,East Asia,Shenzhen F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[22.54554, 114.0683]"
413,Gaelic Grounds,44032,Limerick,Ireland,Europe,Limerick GAA,"Hurling, Gaelic football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.6701641, -8.6542053]"
414,Amon G. Carter Stadium,44008,"Fort Worth, Texas",United States,North America,TCU Horned Frogs football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.7095839, -97.3678228]"
415,Levy Mwanawasa Stadium,44000,Ndola,Zambia,Africa,Zambia national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-12.9751395, 28.6115369]"
416,Suwon World Cup Stadium,43959,Suwon,South Korea,East Asia,Suwon Samsung Bluewings,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.29111, 127.00889]"
417,Riau Main Stadium,43923,Pekanbaru,Indonesia,Southeast Asia,PSPS Riau,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[0.5118098264, 101.8074536481]"
418,Allianz Parque,43713,São Paulo,Brazil,South America,Palmeiras,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-23.527581, -46.678471]"
419,Shandong Provincial Stadium,43700,"Jinan, Shandong",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[28.42878, 121.56459]"
420,Citizens Bank Park,43500,Philadelphia,United States,North America,Philadelphia Phillies,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.9069776, -75.1664383]"
421,Mbombela Stadium,43500,Nelspruit,South Africa,Africa,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.4608253, 30.9298621]"
422,Estadio Pedro Bidegain,43494,Buenos Aires,Argentina,South America,Club Atlético San Lorenzo de Almagro,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.652581, -58.441039]"
423,Jeonju World Cup Stadium,43348,Jeonju,South Korea,East Asia,Jeonbuk Hyundai Motors,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.82194, 127.14889]"
424,Progressive Field,43345,"Cleveland, Ohio",United States,North America,Cleveland Guardians,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.4960532, -81.6853113]"
425,Poznań Municipal Stadium,43269,Poznań,Poland,Europe,Lech Poznań,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.407918402, 16.933467495]"
426,Vasil Levski National Stadium,43230,Sofia,Bulgaria,Europe,Bulgaria national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.6195142, 24.9007384]"
427,Estadio Libertadores de América,43187,Avellaneda,Argentina,South America,Independiente,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.6690179, -58.3714899]"
428,Reser Stadium,43154,"Corvallis, Oregon",United States,North America,Oregon State Beavers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.5597148, -123.2806001]"
429,Stadio Artemio Franchi,43147,Florence,Italy,Europe,ACF Fiorentina,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.7800801, 11.2807541]"
430,Shaanxi Province Stadium,43000,"Xi'an, Shaanxi",China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.0, 109.0]"
431,Saifai International Cricket Stadium,43000,Saifai,India,South Asia,Uttar Pradesh cricket team,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.966684, 78.957428]"
432,Estadio Universidad San Marcos,43000,Lima,Peru,South America,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-12.05118, -77.03031]"
433,Fitzgerald Stadium (Staidiam Mhic Gearailt),43000,Killarney,Ireland,Europe,Kerry GAA,"Gaelic football, hurling",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.066285, -9.508925]"
434,Ullevi,43000,Gothenburg,Sweden,Europe,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[58.3829256, 15.1493827]"
435,Arena da Amazônia,42924,Manaus,Brazil,South America,"Nacional Futebol Clube, Atlético Rio Negro Clube",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-3.13, -59.99]"
436,Sapporo Dome,42831,Sapporo,Japan,East Asia,"Consadole Sapporo, Hokkaido Nippon-Ham Fighters","Association football, baseball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.015159005, 141.409742599]"
437,Arena Pantanal,42788,Cuiabá,Brazil,South America,"Clube Esportivo Dom Bosco, Mixto Esporte Clube",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-15.604083, -56.121655]"
438,Villa Park,42788,Birmingham,United Kingdom,Europe,Aston Villa F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.276979, -1.2652]"
439,Zhuzhou Stadium,42740,"Zhuzhou, Hunan",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[27.83333, 113.15]"
440,Maharashtra Cricket Association Stadium,42700,Pune,India,South Asia,Maharashtra Cricket Association,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[18.6735658, 73.7065213]"
441,Estadio Cuauhtémoc,42648,Puebla,Mexico,North America,Puebla F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[19.0782226, -98.1653012]"
442,Vodafone Park,42590,Istanbul,Turkey,Europe,Beşiktaş J.K.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.7610362, 27.7052443]"
443,Red Bull Arena,42558,Leipzig,Germany,Europe,RB Leipzig,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.3458004, 12.3482795]"
444,Estadio Metropolitano de Mérida,42500,Mérida,Venezuela,South America,Estudiantes de Mérida,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[8.5562656, -71.2181263]"
445,Perak Stadium,42500,Ipoh,Malaysia,Southeast Asia,Perak FA,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[4.6093668, 101.1034608]"
446,Sydney Football Stadium,42500,Sydney,Australia,Oceania,"Sydney Roosters, New South Wales Waratahs, Sydney FC","Association football, Rugby league, Rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.88913, 151.22535]"
447,Ahmadou Ahidjo Stadium,42500,Yaoundé,Cameroon,Africa,"Canon Yaoundé, Tonnerre Yaoundé, Louves Minproff",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[3.8861535, 11.5390331]"
448,Estadio Defensores del Chaco,42354,Asunción,Paraguay,South America,Paraguay national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.3044209, -57.5489491]"
449,Denka Big Swan Stadium,42300,Niigata,Japan,East Asia,Albirex Niigata,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.882518189, 139.059143381]"
450,American Family Field,42200,Milwaukee,United States,North America,Milwaukee Brewers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.0281256, -87.9712393]"
451,Estadio Hernando Siles,42148,La Paz,Bolivia,South America,"Bolivia national football team, La Paz F.C., Club Bolívar, The Strongest",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-16.499451, -68.122681]"
452,Nouveau Stade de Bordeaux,42115,Bordeaux,France,Europe,"FC Girondins de Bordeaux, Union Bordeaux Bègles","Association football, rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.8973214, -0.5625445]"
453,Weserstadion,42100,Bremen,Germany,Europe,Werder Bremen,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.0657393, 8.8371269]"
454,Great American Ball Park,42059,Cincinnati,United States,North America,Cincinnati Reds,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.0980839, -84.5085603]"
455,Estádio do Zimpeto,42055,Maputo,Mozambique,Africa,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.8250122, 32.5756836]"
456,The Gabba,42000,Brisbane,Australia,Oceania,"Australia national cricket team, Queensland Bulls, Brisbane Heat, Brisbane Lions","Cricket, Australian rules football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-27.4867518, 153.038484]"
457,McHale Park (Páirc Mhic Éil),42000,Castlebar,Ireland,Europe,Mayo GAA,"Gaelic football, hurling",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.2635497667, -6.1643089988]"
458,Estadio Universitario,42000,San Nicolás de los Garza,Mexico,North America,Tigres UANL,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.7224897, -100.311998]"
459,Arena da Baixada,42000,Curitiba,Brazil,South America,Athletico Paranaense,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-28.2896119, -52.4330906]"
460,Chengdu Sports Centre,42000,"Chengdu, Sichuan",China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.66667, 104.06667]"
461,Stade Geoffroy-Guichard,42000,Saint-Étienne,France,Europe,AS Saint-Étienne,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[45.461043, 4.388629]"
462,Royal Bafokeng Stadium,42000,Phokeng,South Africa,Africa,,"Rugby union, association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.57863, 27.16067]"
463,Konya Metropolitan Municipality Stadium,42000,Konya,Turkey,Western Asia,Konyaspor,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.871658, 32.498959]"
464,Estadio Deportivo Cali,42000,Palmira,Colombia,South America,Deportivo Cali,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[3.5216736, -76.4170218]"
465,Estadio Presidente Juan Domingo Perón,41900,Avellaneda,Argentina,South America,Racing Club de Avellaneda,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.6665855, -58.3692444]"
466,Darul Makmur Stadium,41895,Kuantan,Malaysia,Southeast Asia,Pahang FA,"Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[3.8152, 103.3237]"
467,Nationals Park,41888,"Washington, D.C.",United States,North America,Washington Nationals,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.8717671, -77.0080277]"
468,Estadio Gigante de Arroyito,41654,Rosario,Argentina,South America,Rosario Central,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-32.912203, -60.67542]"
469,Wrigley Field,41649,Chicago,United States,North America,Chicago Cubs,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.3712549, -82.1333217]"
470,Changchun Stadium,41638,"Changchun, Jilin",China,East Asia,Changchun Yatai,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.88, 125.32278]"
471,Stadion Gdańsk,41620,Gdańsk,Poland,Europe,Lechia Gdańsk,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[54.3902373, 18.6389542]"
472,Estádio Serra Dourada,41574,Goiânia,Brazil,South America,"Goiás Esporte Clube, Vila Nova Futebol Clube",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-16.697976, -49.2339611]"
473,Juventus Stadium,41507,Turin,Italy,Europe,Juventus FC,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[45.113341, 7.638461]"
474,Wuyuan River Stadium,41506,Haikou,China,East Asia,,"Athletics, concerts",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.00733, 108.11221]"
475,Oracle Park,41503,San Francisco,United States,North America,San Francisco Giants,"Baseball, American football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.6060472, -110.7699523]"
476,Estadio Morelos,41500,Morelia,Mexico,North America,Monarcas Morelia,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[19.7186855, -101.2327159]"
477,Goyang Stadium,41311,Goyang,South Korea,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.65639, 126.835]"
478,Polideportivo Cachamay,41300,Ciudad Guayana,Venezuela,South America,Mineros de Guayana,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-32.8273227, -61.389436]"
479,Daejeon World Cup Stadium,41295,Daejeon,South Korea,East Asia,Daejeon Hana Citizen,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.34913, 127.38493]"
480,Plaza de Toros México,41262,Mexico City,Mexico,North America,,Bullfighting,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[19.3825478, -99.1804989]"
481,Marrakesh Stadium,41245,Marrakesh,Morocco,Africa,"Kawkab Marrakech, Morocco national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.62503, -7.9929576]"
482,Minute Maid Park,41168,"Houston,",United States,North America,Houston Astros,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.7561297, -95.3557455]"
483,Truist Park,41084,Atlanta,United States,North America,Atlanta Braves,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.8907088, -84.4678596]"
484,Comerica Park,41083,Detroit,United States,North America,Detroit Tigers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.3378009, -83.0494595]"
485,Alejandro Villanueva Stadium,40938,Lima,Peru,South America,Club Alianza Lima,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-16.387343, -71.5443089]"
486,Suzhou Olympic Sports Centre,40933,Suzhou,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.30408, 120.59538]"
487,Nelson Mandela Stadium,40784,Algiers,Algeria,Africa,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.4170445728, -1.7450976805]"
